"type_study";"document_title";"author_keywords";"index_keywords";"abstract";"pdf_link";"base";"authors";"publication_title";"endereco";"status1-selecao";"status2-duplicated";"status3-title-abst_keys";"status4-read";"rq1";"rq2";"rq2.1_fase_citada";"rq3";"all_tags";"conotação";"tipo_porte";"setor";"observação";"publication_year";"document_identifier";"online_date"
"white";"Smart Monitoring System For Physical Distancing";"COVID-19;physical distancing;artificial neural networks;monitoring system";"COVID-19;Faces;Social factors;Pandemics;Human factors;Gabor filters;Economics";"COVID19 has become the top priority for the health sector worldwide. Numerous efforts were paid to battle this pandemic and to flatten the infection rate. Preventive measures and basically confinement and quarantine remain the most adopted solution as there is no officially patented vaccine. Throughout the months, the global economy and consequently the public mood are impacted negatively. To find a trade-off between precaution procedure and reviving the economic situation, the current paper proposes an intelligent monitoring system for physical distancing. The solution monitors people's respect to physical distancing and gives them consequently the suitable feedback.The system detects the number of people available in a specific waiting zone and calculates the distance among them. The system displays a warning message to alert the person who is not respecting the distancing. Otherwise, it displays a thank message for respecting the regulations. The solution allows a smooth transition to the post-pandemic stage and is applicable for places of worship, waiting rooms, airport boarding area and hospital.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9319932";"ieee explore";"A. Al-Khazraji; A. E. Nehad";"2020 Second International Sustainability and Resilience Conference: Technology and Innovation in Building Designs(51154)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-01-18"
"white";"Health and Safety for Infrastructure Projects: PPE Adaptation and Barriers";"Infrastructure Project;Hazard and Safety;Personal Protective Equipment PPE;and COVID-19";"Safety;Construction industry;Industries;COVID-19;Health and safety;Pandemics;Buildings";"The construction industry is a dynamic and revolutionary industry that come up with projects in terms of infrastructure and buildings. It has been facing with safety challenges in every project. The statistic shows that the increases in fatality cases and permanent disablement cases due to accidents at Malaysian construction sites are one of the highest compares to other industries. On top of that, as the COVID-19 pandemic challenge rises globally, safety measures need to be taken in construction projects by implementing personal protective equipment (PPE) to avoid the transmission of the COVID-19. This study examines the safety management and hazard in infrastructure projects through PPE and investigates the effect of COVID 19 on the construction industry. The safety factors and barriers for PPE adaptation about safety encountered were identified through the literature review, then a questionnaire survey was carried out at different companies. Finally, to avoid the transmission of the COVID-19 at the construction sites, this study comes out with practical recommendations and safety measures towards the importance of the application of PPE in infrastructure projects.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9319985";"ieee explore";"W. S. Alaloul; A. S. I. Bin Ismail; S. Ammad; S. Saad";"2020 Second International Sustainability and Resilience Conference: Technology and Innovation in Building Designs(51154)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-01-18"
"white";"Service Design Thinking and Social Innovation Sustainability";"Social innovation;service design;social sustainability";"Technological innovation;Sustainable development;COVID-19;Tools;Resilience;Buildings;Testing";"Social Innovation is one of the key indicators within the sustainable development goals (SDGs). Currently, service Design and its design thinking processes play a significant role in Innovation for businesses; it proved its social innovation impact in many projects building sustainable solutions. This study aims to highlight the value of implementing service design through the design thinking process in finding a sustainable solution for different social issues. Researchers achieved the aim of this study using qualitative methodology, implementing case study analysis as a method, were 28 design students have been asked to redesign missing social experiences during pandemics. These case studies explain how sustainable solutions can be generated via service design through the design thinking processes. The findings of this research highlight the value of implementing service design with its design thinking process to generate sustainable solutions for different social issues, concluding that this process can be taught and applied by designers to change their mindsets from `final outcome' to the concept of `final demand', aligning then with sustainability for social Innovation.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9319998";"ieee explore";"R. Sultan; F. Qaed";"2020 Second International Sustainability and Resilience Conference: Technology and Innovation in Building Designs(51154)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-01-18"
"white";"Real-time Contact Tracing During a Pandemic using Multi-camera Video Object Tracking";"Computer Vision;Video Processing;Contact Tracing;Object Tracking";"Cameras;Object tracking;Tracking;Pandemics;Object recognition;Kalman filters;Mathematical model";"Due to the COVID19 pandemic, contact tracing and moving object tracking are gaining more popularity in automated video surveillance systems in computer vision and video processing. The application of contact tracing and moving object tracking is critical in applying pandemic control measures and is getting more important day by day. This work proposes a computer vision-based algorithm for contact tracing using stationary surveillance cameras. The input videos are converted into a bird's eye view where all moving objects are detected, and the distances between them are calculated. The algorithm performs background subtraction to isolate foreground objects, morphological operations to remove the noise, and blob analysis to identify the connected regions in the resulting foreground video. Kalman filters to estimate objects' motion in the video calculates Euclidean distance between the objects to trace object contacts. This algorithm can be utilized in almost all public places such as shopping malls, airport terminals, and educational institutions. It allows identifying, assessing, and managing people who might have been exposed to the disease. The testing data was collected in a home environment, and the stationary camera was replaced with a mobile phone camera fixed on a tripod. The work was implemented and tested, and the results verified the feasibility and effectiveness of the proposed method. The system was able to detect the objects in the input video frame and estimate the distance between them across multiple cameras.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9317132";"ieee explore";"M. Yaghi; T. Basmaji; R. Salim; J. Yousaf; H. Zia; M. Ghazal";"2020 International Conference on Decision Aid Sciences and Application (DASA)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-01-15"
"white";"Twitter Sentiment Analysis During Unlock Period of COVID-19";"COVID-19;Sentiment Analysis;Twitter;Rstudio;USA;India";"Pandemics;COVID-19;Blogs;Social networking (online);Sentiment analysis;Resilience;Data mining";"The pandemic has hit the individuals at both personal, social and professional front triggering emotional crisis leading to stress, anxiety and other related problems. However, some countries are now easing down on restrictions by going from lock down to unlocking in a phased manner. As life springs back to action the sentiments and emotions of people are bound to change. It therefore becomes imperative to understand the emotions and sentiments of people after seven months of outbreak when the people are more informed about the nature of disease, steps for prevention and also have hope for a vaccine coming up in near future. The study analyses the sentiments of the people from the USA and India by text mining using R Studio. The study has various implications for academicians as it adds to the existing knowledge pool. The findings provide guidance to the policy makers to tailor their support policies in response to the emotional state of their people and also assists the marketers to tailor the communication strategies in the light of the emotional state of the target market.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9315773";"ieee explore";"S. Sharma; A. Sharma";"2020 Sixth International Conference on Parallel, Distributed and Grid Computing (PDGC)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-01-15"
"white";"Telemedicine application to reduce the spread of Covid-19";"COVID 19;telemedicine;wearable sensors network;healthcare;statistical studies";"Temperature sensors;COVID-19;Temperature measurement;Temperature distribution;Servers;Monitoring;Wireless sensor networks";"The usage of wearable sensors network (WSN), is one of the most useful methods to monitor the daily life of people especially when we deal with healthcare issues such as human body temperature monitoring, heart rate monitoring, and other vital parameters like that, this area of study is called telemedicine. This work will mention about the usage of a temperature and location wearable sensors network with one platform for making the diagnosis of the people whom affected by COVID 19 very easy, moreover several statistical studies will be done in real time. The first reason to use WSN is to avoid the frequent direct contact with the suspected cases, the second reason is to reduce the diagnosis time because a lot of patients will be connected to one platform and the data analysis will be done automatically. In this paper we will deal with the proof of concept of the most important part in telemedicine by doing many simulations on LabVIEW Software including the platform development, and those demonstrations are based on the actual data in order to highlight the efficiency of our approach and our platform as well.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9314459";"ieee explore";"M. TOUIL; L. BAHATTI; A. E. MAGRI";"2020 IEEE 2nd International Conference on Electronics, Control, Optimization and Computer Science (ICECOCS)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-01-14"
"white";"An Improved SEIR Model for Reconstructing the Dynamic Transmission of COVID-19";;"COVID-19;Epidemics;Statistics;Sociology;Biological system modeling;Predictive models;Pathogens";"With the recent outbreak of coronavirus disease 2019 (COVID-19), human life and the world economy have been severely affected, the propagation and scale of COVID-19 is top of mind for everyone. To reconstruct the development trend of COVID-19, we investigate the issue of the epidemic spreading process under vigorous non-pharmaceutical interventions. Here, an improved Susceptible-Exposed-Infectious-Recovered (SEIR) model with dynamic variables (i.e., health exposure individuals and close contacts) is proposed to predict the scale of COVID-19 and its dynamic evolution. We assume that the number of contacts and the reproduction number of COVID-19 changes dynamically over time. Then a gradient descent method is applied to estimate the effective reproduction number. We use the proposed model to reconstruct the dynamic transmission of COVID-19 in Chongqing between 14 January and 24 March 2020. The results show a similar development trend with a real-world epidemic. Our work has important implications when considering strategies for continuing surveillance and interventions to eventually contain outbreaks of COVID-19.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9312981";"ieee explore";"X. Yuan; S. Chen; L. Yuwen; S. An; S. Mei; T. Chen";"2020 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-01-13"
"white";"Analysis of SARS-CoV-2 sequences reveals transmission path and emergence of SD 614G mutation.";"SARS-CoV-2;COVID-19 spike protein;Nextstrain";"COVID-19;Strain;Phylogeny;Viruses (medical);Bioinformatics;Genomics;Proteins";"The coronavirus disease 2019 (COVID-19) outbreak caused by SARS-CoV-2 virus began in Wuhan, China, and has spread quickly throughout the world. The development of vaccines for SARS-CoV-2 is difficult due to many obstacles, such as the lack of knowledge of important proteins, genes, and mutations of the viral genome. In this study, we selected and utilized 852 strains of COVID-19 from major countries in the National Center for Biotechnology Information (NCBI) global virus bank. The information of these strains was processed by using Nextstrain software, a program that provided a visual phylogenetic tree, transmission map, and diversity panel that explains entropy and number of mutations for each codon in the genome. The general data about the spread and evolution of COVID-19 supported the current knowledge that it began in China and spread throughout the country in an interrelated manner instead of a clear “patient zero” manner. A recent study reported that codon 614 on COVID-19 spike protein (S614) was an important codon for viral spread, specifically, a mutation from aspartic acid to glycine facilitated the spread of the virus. Therefore, we chose to geographically track this mutation during the spread of COVID-19 to investigate where it emerged and whether it can affect the spread COVID-19. Our results showed that the glycine mutation first emerged in France. Also, the transmission rates in France versus China, where the mutation was not prevalent, did reflect the hypothesized change in viral behavior.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9313091";"ieee explore";"M. Li; N. Prasad; D. Hall; H. Wu";"2020 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-01-13"
"white";"On the Development of a Tool for Tongue Images Analysis";"Health Data Management;Images Analysis";"Tongue;Diseases;COVID-19;Medical diagnostic imaging;Image analysis;Melanoma;Image color analysis";"Artificial intelligence is currently being used for medical image analysis in various fields, and particularly for organ and injury segmentation, disease detection and classification, and to assess response to treatment. In this paper we refer about the development of a software module that is in charge of analyzing tongue images in order to support the identification of specific disease. The module extends the system SIMPATICO 3D.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9313414";"ieee explore";"E. Vocaturo; E. Zumpano";"2020 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-01-13"
"white";"Predicting Employees under Stress for Pre-emptive Remediation using Machine learning Algorithm";"Data Visualization;Machine Learning Algorithms;people analytics;Employee stress";"Stress;Machine learning algorithms;Predictive models;COVID-19;Prediction algorithms;Null value;Classification algorithms";"With the ongoing COVID-19 pandemic, businesses and organizations have acclimated to unconventional and different working ways and patterns, like working from home, working with limited employees at office premises. With the new normal here to stay for the recent future, employees have also adapted to different working environments and customs, which has also resulted in psychological stress and lethargy for many, as they adapt to the new normal and adjust their personal and professional lives. In this work, data visualization techniques and machine learning algorithms have been used to predict employees stress levels. Based on data, we can develop a model that will assist to predict if an employee is likely to be under stress or not. Here, the XGB classifier is used for the prediction process and the results are presented showing that the method facilitates getting a more reliable model performance. After performing interpretation utilizing XGB classifier it is determined that working hours, workload, age, and, role ambiguity have a significant and negative influence on employee performance. The additional factors do not hold much significance when associated to the above discussed. Therefore, It is concluded that concluded that increasing working hours, role ambiguity, the workload would diminish employee representation in all perspectives.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9315726";"ieee explore";"A. Garlapati; D. R. Krishna; K. Garlapati; G. Narayanan";"2020 International Conference on Recent Trends on Electronics, Information, Communication & Technology (RTEICT)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-01-13"
"white";"Building Social Resilience During Disasters: An Investigation into the Role of Online Social Media Networks";"COVID-19;pandemics;social resilience;social media networking";"COVID-19;Diseases;Pandemics;Social networking (online);Government;Urban areas;Biology";"Within the last ten years, the world witnessed four serious epidemics. COVID-19 has been the most serious of these ones in terms of the number of people affected and the lives lost. In order to contain the spread of the disease many countries including Sri Lanka enforced 24 hour curfews. The social isolation created by lockdowns creates many problems in people including anxiety and depression. Many studies have been carried out on effect of lockdowns on mental well being of people. But, so far nobody has studied whether online social me can help people overcome the negative effects of lockdowns. This research was carried out to fill this gap. An online survey was carried out to understand how people used social media during the continuous curfew enforced by the Sri Lankan government. The research found that the average time spent using social media has increased compared to normal days. Also, majority of the users agreed that the social media helped them overcome the boredom created by the lockdown. This fact was confirmed using statistical tests in this study.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9310846";"ieee explore";"M. F. M. Firdhous";"2020 5th International Conference on Information Technology Research (ICITR)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-01-04"
"white";"Wearable Smart Prototype for Personal Air Quality Monitoring";"Air quality;sensor cluster;sensor platform;wearable;personal;prototype;cost-effective";"Prototypes;Urban areas;COVID-19;Pollution measurement;Atmospheric measurements;Volatile organic compounds;Transportation";"This work aims to present an advanced prototype of cost-effective wearable air quality monitoring equipment suitable for different use cases due to its small size, easy handling, and smartphone compatibility. In the paper, we present the chosen components and the system design. The prototype development is also presented, with the initial measurements and the aspects encountered during development. We used C and Arduino programming, Android software development. The proposed system comprises of an Arduino based micro controller, a CCS811 sensor for volatile organic compound (VOC) measurement, a ZPH01 particulate matter (PM) detector, and an HC-O5 device for Bluetooth connection. We investigated the prototype both in the laboratory and in a smart urban environment with different scenarios in Budapest, Hungary (street, campus, store, mall, underground). Also, the use of a smartphone connection for data loggings is presented. The paper shows examples of measurement results and the relation to similar results from around the world. The possible application in COVID-19 pandemic related questions is also discussed.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9292309";"ieee explore";"A. Géczy; L. Kuglics; L. Jakab; G. Harsányi";"2020 IEEE 26th International Symposium for Design and Technology in Electronic Packaging (SIITME)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2020-12-28"
"white";"Visual Social Distance Alert System Using Computer Vision & Deep Learning";"Social distance;image processing;alert;human behavior;person yolo detection;cluster detection;one vision metrology";"Social factors;Human factors;COVID-19;Shape;Pandemics;Detectors;Conferences";"One of the principles and best measures to contain the ongoing viral episode is the support of the alleged social distancing (SD). To agree to this limitation, governments are receiving limitations over the base between close to home separation between individuals. Given this real situation, it is critical to enormously gauge the consistence to such physical requirement in our life, so as to make sense of the purposes behind the potential breaks of such separation impediments and comprehend if this suggests a likely danger. To this end, the proposed research work presents the Video Social Distancing issue, characterized as the programmed assessment of the between close to home good ways from a picture, and the portrayal of related individuals' conglomerations. Video Social Distancing is significant for a non-obtrusive investigation of whether individuals follow the Social Distancing limitation, and to give insights about the degree of security of explicit territories at whatever point this imperative is abused. It has been first viewed that, estimating Video Social Distancing isn't just a mathematical issue, however it additionally infers a more profound comprehension of the social conduct in the scene. The point is to genuinely identify possibly risky circumstances while keeping away from bogus alerts (e.g., a family with youngsters or family members, a senior with their guardians), the entirety of this by following current security strategies. At that point, the proposed research work will discuss about how video social distancing is related with past writing in social signal processing and show a way to investigate new computer vision techniques that can give an answer for such issue. This paper is concluded with future moves that are identified with the viability of video social distancing frameworks, moral ramifications and future application situations.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9297510";"ieee explore";"S. Degadwala; D. Vyas; H. Dave; A. Mahajan";"2020 4th International Conference on Electronics, Communication and Aerospace Technology (ICECA)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2020-12-28"
"white";"Augmented Reality Development for Supporting Cultural Education Role in SMB II Museum During Covid-19 Pandemic";"software development;augmented reality;cultural education;museum";"COVID-19;Pandemics;Education;Millennials;Media;Cultural differences;Usability";"The Covid-19 pandemic has changed normal life including the learning process. Computer-assisted learning is a method applied when it is not possible to do it face-to-face, one of which is cultural learning at the SMB II Museum. The museum was closed during the Covid-19 pandemic. This study developed the AR application to support the education role of the SMB II museum. Through the AR application, users can view the museum's virtual collection and learn about the culture related to the collection without having to come to the museum. The museum collection is presented virtually reconstructed in the Vuforia, Unity, and Blender 3D development environment that blends real and virtual environments. The testing results show that the AR application has a good performance with the results of the SUS user survey showing a score> 70 and effectively supports the education role of the museum as measured by an improvement knowledge about Palembang culture after using the AR application of the SMB II museum. It is also found that there was different usability on a user with age> 30. Millennial generation having no difficulty in using the AR for their experience in using mobile apps and devices.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9288619";"ieee explore";"S. Puspasari; N. Suhandi; J. N. Iman";"2020 Fifth International Conference on Informatics and Computing (ICIC)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2020-12-24"
"white";"Improving the Availability of Firewalls with a View to Increasing ICT Consumption Due Covid-19";"ICT;home-office;Covid-19;Firewalls;Availability;Reliability;Dependability";"COVID-19;Firewalls (computing);Quality of service;Maintenance engineering;Information and communication technology;Reliability;Transient analysis";"Due to pandemic Covid-19, which suddenly forced people to change their habits and stay in their homes for several weeks, the daily routines changed, people could no longer go to work or study, physical contact should be avoided, care with personal hygiene improved and all types of crowding avoided. This causes “home office” work to skyrocket and reach significant peaks. In this way, the demand for services related to Information and Communication Technology, ICT, has grown greatly. To manage the problems caused by the lack of resources needed to transport traffic on the network, SLA (Service Level Agreement) contracts are common, which the parties involved sign (the provider and the customer). Failure to comply with these contracts may result in a fine for the party that has not fulfilled it. This work proposes an approach to improve the dimensioning of Firewalls, in terms of their availability, to establish values as close as possible to the real ones so that there is neither an underestimation nor an overestimation of commitments agreed between the actors. In addition, this work proposes a way to approach this problem in a broader way, taking into account the Dependability, that is, Availability, Reliability and Maintainability.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9284894";"ieee explore";"E. L. Ursini; H. de Castro Lobo dos Santos; M. T. Okano";"2020 11th IEEE Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2020-12-22"
"white";"Engineering Student Attitudes to E-Reading in Remote Teaching Environments";"E-reading;E-book;Engineering education;Textbook;E-learning";"Electronic publishing;Libraries;COVID-19;Education;Pandemics;Engineering students;Media";"Rational: Academic libraries are increasingly offering online e-books because they provide convenient access for students, cost savings, logistical advantages and significant portability. Current research suggests that this trend will continue in the future. In parallel with the growth of the e-book market and the development of e-book library collections, librarians and information scientists have conducted a number of research studies to investigate the impact of e-books on collection development: specifically, relating to the challenges and questions of e-book management and service. Consequently, researchers have considered it pertinent to explore the behaviours and strategies of e-book readers. Scope: In January 2020, institutions around the globe faced significant disruption due to COVID-19. Many universities accelerated their adoption of online/e-learning approaches in response to the COVID-19 epidemic. Though e-books were at an early stage of adoption and the culture of using them in academia was slowly growing, they suddenly became the preferred option, if not the sole option because libraries were closed. Accordingly, some of the popular publishers; for example, Cambridge University Press, have offered online higher education textbooks as free-to-access. Over 700 textbooks were available for more than 2 months, regardless of whether those textbooks had previously been purchased. Furthermore, MIT Press offered complimentary access to its catalogue of e-books to support faculty and students who were working and learning remotely. Methodology: Despite increasing interest from librarians and learning technologists, prior to 2020, there were few well conducted studies investigating the habits of e-book users, especially amongst engineering students. Notwithstanding the challenges arising from the COVID-19 pandemic, an opportunity has arisen to survey student attitudes regarding the adoption of e-reading in an academic context. In this paper, a case study is presented that investigates the impact of the mandatory use of an e-book textbook in a final year undergraduate engineering module at the University of Nottingham Ningbo China. The paper investigates Science and Engineering students' usage and attitudes towards e-books when using their available e-readers, which include PCs or portable devices. A cross-sectional survey containing 5 nominal questions, 2 open questions and 17 Likert questions was developed and deployed to final year students from two programmes: Electrical and Electronic Engineering and Mechatronics Engineering. These students were attending the module titled Integrated Circuits and Systems. Findings: The results of this study highlight approaches for improving support for e-reading in an academic environment Of particular interest to librarians are student attitudes after their adjustment to e-books, which have implications for future purchasing decisions. Furthermore, student strategies for adjusting their learning techniques as a result of forced engagement with e-books illustrate preferences that can inform educators. In conclusion, the forced adoption of e-books has presented the opportunity to investigate student acceptance and strategies. This research provides evidence for purchasing decisions and strategies for adopting e-books in wider Higher Education syllabi.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9293649";"ieee explore";"S. Welsen; M. Pike; J. Walker";"2020 IFEES World Engineering Education Forum - Global Engineering Deans Council (WEEF-GEDC)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2020-12-22"
"white";"Real World Solutions for Smart Cities Transportation to be Pandemic Ready";"COVID-19;Transportation;Impact;Solutions;Technology;Pandemic;aviation;railways";"COVID-19;Pandemics;Rail transportation;Transportation;Europe;Economics;Industries";"The COVID-19 is the current widespread health disaster. It has speedily spread all over the world causing a massive impact on the health, environmental, social and economic condition of the total world's population. Enormous actions undertaken worldwide to minimize the expansion of this deadly contagion by testing at a large scale, quarantining the suspected people, upholding lockdowns and restricting social gatherings. The transportation sector has been one amid the leading sufferers of Coronavirus. Airlines, railways, and the public transport sector are badly hit due to this coronavirus outbreak. In this paper, we studied the effect of Coronavirus on the various transport sectors all over the world, taking into consideration the worldwide scenario and India's condition as well. Further, this paper analyses the possible ways and measures regarding how the transport services are dealing with this pandemic.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9296179";"ieee explore";"Y. Amir; S. Deb; M. S. Alam; Y. Rafat; S. Hameed";"2020 Fifth International Conference on Research in Computational Intelligence and Communication Networks (ICRCICN)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2020-12-21"
"white";"COVID-19’s Influence on the Future of Agile";;"Agile; COVID-19; Digital transformation; Virtual collaboration ";"As a result of the global COVID-19 pandemic, the way the world works, collaborates, and plays has changed. Commerce has stalled with travel, hospitality, education, retail, and health sectors particularly affected. This paper is based on an XP 2020 panel organized by Steven Fraser and featuring Aino Corry, Steve McConnell, and Rachel Reinitz. The panel discussed the impact of COVID-19 on knowledge workers, the acceleration of digital workplace transformation, and anticipated long term effects from the pandemic in the context of agile practices. Four key observations emerged from the discussion: First, virtual collaboration between those working from home is enabled by a variety of communication tools – substituting for face-to-face interactions. Second, agile work practices are harder to perform given the virtual nature of meetings and interactions. Third, communication tools are not always adequate for high-bandwidth or informal interactions, such as brainstorming, side discussions, or hallway conversations. Fourth, forming new teams and onboarding staff is challenging in a virtual work environment.";"http://link.springer.com/chapter/10.1007/978-3-030-58858-8_32";"springer";"Dennis ManclSteven D. Fraser";"Agile Processes in Software Engineering and Extreme Programming – Workshops";"H8JH+M6 Bridgewater Township, New Jersey, Estados Unidos";1;0;1;1;1;0;"NA";"metodologia ágil;transformação digital;trabalho remoto;colaboração;saúde ocupacional;comunicação;conectividade;ensino remoto-extensão";"metodologia ágil;transformação digital;trabalho remoto;colaboração;saúde ocupacional;comunicação;conectividade;ensino remoto-extensão";"mista";"NA";"NA";"artigo escrito a partir de um evento. Podemos fazer o mesmo com o Agile Brasil!!!";2020;"Chapter";"2020-09-24"
"white";"Mobile Cloud Computing Adoption Model as a Feasible Response to Countries’ Lockdown as a Result of the COVID-19 Outbreak and Beyond";"Mobile Cloud Computing;COVID-19;Mobile Cloud Computing Adoption Model component";"COVID-19;Productivity;Cloud computing;Computational modeling;Organizations;Virtual private networks;Usability";"The COVID-19 outbreak has been declared as one of the worst global disasters. The impact of COVID-19 is visible in many sectors, such as health, logistics, and many other critical aspects of our daily lives. Due to the continuous rapid spread of COVID-19, many countries have imposed lockdown measures. As a result of the lockdown, many organizations are devising measures to remain operational during this period and beyond. One of the visible challenges of the lockdown to organizations lies in their technological readiness strategies, to operate this period. One of the feasible responses, many organizations are implementing is allowing workers to work from home and long-distance learning. Technologies such as Virtual Private Networks (VPNs) and Video Conferencing can enable workers to work from home. During this period cloud service providers have also noticed a big rise in the usage of cloud-based solutions. On the other hand, due to cost-effectiveness and usability, the concept of Mobile Cloud Computing (MCC) is rapidly gaining ground in the cloud and mobile computing communities. Cloud-based solutions, such as MCC can be deemed a possible solution to the damage that can be caused by the lockdown and beyond, to many organizations. Currently, however, there is no feasible MCC adoption model that guides the process of its adoption, thus the need to propose one. In this paper, an MCC adoption model is proposed, as well as a case scenario to which MCC can be useful is demonstrated.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9288402";"ieee explore";"N. Rananga; H. S. Venter";"2020 IEEE Conference on e-Learning, e-Management and e-Services (IC3e)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2020-12-14"
"white";"Monitoring of Electrical Consumption, Including Self-Isolation During the COVID-19 Pandemic";"locked electrical capacity;standby electric power;electrical power supply system;calculated electrical load;daily power profiles;COVID-19";"COVID-19;Buildings;Urban planning;Companies;Task analysis;Standards;Monitoring";"To date, one of the most relevant tasks is a justified calculation of the electrical capacity of residential buildings and public facilities. Studies conducted by the “Roselectromontazh” Association have shown a significant difference between the actual and calculated electrical capacity, which is further confirmed by the reports of electric grid companies. In some cases, there is a 3-fold difference. This occurs due to the emergence of a sustainable culture of electricity consumption and the use of highly energy-efficient devices. In 2019, the results of the research work were taken into account in the regional urban planning standards of the Republic of Tatarstan. On average, the normative values have been reduced by 2 times. This enabled a significant reduction in the difference between the actual and calculated electrical capacity. From 2020 onwards, leading construction companies in the Republic of Tatarstan are applying up-to-date values to decrease utility services' construction costs. For power grid companies the savings consist of reduction of electrical energy losses and “locked electrical capacity” and the elimination of inefficient investments. It is important to note that specific values of electrical load were calculated taking into account summer and winter peaks in order to exclude the emergencies. However, it was impossible to predict a time when people would need to stay self-isolated at home to prevent the spread of severe acute respiratory syndrome-related coronavirus SARS-CoV-2 (COVID-2019). Corresponding diagrams relative to 2019 were constructed to determine the impact of the electricity consumption of residential buildings during lockdown.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9281179";"ieee explore";"Y. Soluyanov; A. Fedotov; A. Akhmetshin; V. Khalturin";"2020 Ural Smart Energy Conference (USEC)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2020-12-11"
"white";"Problems Faced by Students and Teachers During Online Education Due to COVID-19 and How to Resolve Them";"pandemic covid-19;education;teaching;learning;dismantle and development";"Education;Pandemics;Government;Privacy;Hardware;COVID-19;Software";"The Covid-19 pandemic brought extraordinary disruption to the education landscape with the campuses closing everywhere almost overnight. Schools and colleges in India have a different pattern of education where one cannot physically attend classes but has to attend classes virtually, a new problem occurs. here we will analyze some issues like internet connectivity problems and basic understanding of technology and other such problems, to understand the problem more closely we make Google form and conduct survey and interact with 160 approx. The results of the study stated that most people faced internet problems and did not have the knowledge to use and solve problems related to technology.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9276625";"ieee explore";"D. Khanna; A. Prasad";"2020 6th International Conference on Education and Technology (ICET)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2020-12-08"
